03007 <1111>
04E00 <1>
04E59 <8>
04E01 <32>
04E03 <30>
04E43 <87>
04E5D <90>
04E86 <93>
04E8C <19>
04EBA <45>
0513F <55>
05165 <51>
0516B <48>
051E0 <57>
05200 <81>
05201 <11><2>
0529B <83>
05315 <24>
05341 <20>
0535C <37>
053C8 <84>
04E09 <1><19>
04E0B <1><37>
04E08 <110>
04E0A <38><1>
04E2B <3><70>
04E38 <136>
051E1 <57><6>
04E45 <132>
04E48 <5><88>
04E5F <154>
04E5E <42><8>
04E8E <96>
04EA1 <67><15>
05140 <1><55>
05203 <81><6>
052FA <64><6>
05343 <126>
053C9 <84><6>
053E3 <119>
0571F <99>
058EB <101>
05915 <135>
05927 <105>
05973 <155>
05B50 <162>
05B51 <163>
05B53 <168>
05BF8 <113>
05C0F <159>
05C22 <107>
05C38 <142>
05C71 <121>
05DDD <171>
05DE5 <102>
05DF1 <143>
05DF2 <148>
05DF3 <145>
05DFE <122>
05E72 <95>
05EFE <108>
05F0B <114>
05F13 <149>
0624D <116>
04E11 <267>
04E10 <181>
04E0D <191>
04E2D <214>
04E30 <227>
04E39 <241>
04E4B <254>
05C39 <271>
04E88 <89><16><10>
04E91 <19><88>
04E95 <175>
04E92 <1><164>
04E94 <197>
04EA2 <67><57>
04EC1 <46><19>
04EC0 <46><20>
04EC3 <46><32>
04EC6 <46><37>
04EC7 <46><90>
04ECD <46><87>
04ECA <45><1><17>
04ECB <45><43>
04EC4 <22><45>
05143 <19><55>
05141 <88><55>
05167 <217>
0516D <67><49>
0516E <48><34>
0516C <48><88>
05197 <72><57>
051F6 <54><80>
05206 <48><81>
05207 <31><81>
05208 <54><82>
052FB <64><19>
052FE <64><88>
052FF <245>
05316 <46><24>
05339 <29><50>
05348 <5><95>
05347 <5><108>
05345 <190>
0535E <67><37>
05384 <22><76>
053CB <23><84>
053CA <246>
053CD <22><84>
058EC <95><1>
05929 <1><105>
0592B <176>
0592A <105><6>
0592D <5><105>
05B54 <163><9>
05C11 <160><5>
05C24 <107><6>
05C3A <142><7>
05C6F <198>
05DF4 <268>
05E7B <169><11>
05EFF <182>
05F14 <265>
05F15 <149><3>
05FC3 <257>
06208 <202>
06236 <236>
0624B <218>
0624E <220><9>
0652F <20><84>
06587 <247>
06597 <71><20>
065A4 <232>
065B9 <67><61>
065E5 <209>
066F0 <210>
06708 <238>
06728 <184>
06B20 <62><45>
06B62 <206>
06B79 <195>
06BCB <272>
06BD4 <25><24>
06BDB <222>
06C0F <240>
06C34 <275>
0706B <249>
0722A <233>
07236 <237>
0723B <54><53>
07247 <231>
07259 <203>
0725B <224>
072AC <192>
0738B <173>
04E19 <290>
04E16 <286>
04E15 <191><1>
04E14 <299>
04E18 <329>
04E3B <67><99>
04E4D <324>
04E4F <5><254>
04E4E <334>
04EE5 <297>
04ED8 <46><113>
04ED4 <46><162>
04ED5 <46><101>
04ED6 <46><154>
04ED7 <46><110>
04EE3 <46><114>
04EE4 <45><1><89>
04ED9 <46><121>
04EDE <46><81><6>
05145 <115><55>
05144 <119><55>
05189 <310>
0518A <311>
051AC <130><71>
051F9 <319>
051FA <152><80>
051F8 <320>
0520A <95><82>
052A0 <83><119>
0529F <103><83>
05305 <64><145>
05306 <64><129>
05317 <117><24>
0531D <28><122>
04EDF <46><126>
0534A <70><97>
05349 <20><108>
05361 <38><1><37>
05360 <38><119>
0536F <134><75>
0536E <44><1><76>
053BB <99><88>
053EF <32><119>
053E4 <20><119>
053F3 <23><119>
053EC <81><119>
053EE <119><32>
053E9 <119><75>
053E8 <119><81>
053FC <119><11><2>
053F8 <11><1><119>
053F5 <28><119>
053EB <119><79>
053E6 <119><83>
053EA <119><49>
053F2 <307>
053F1 <119><66>
053F0 <88><119>
053E5 <64><119>
053ED <119><48>
053FB <119><83>
056DB <120><50>
056DA <120><47>
05916 <135><37>
0592E <308>
05931 <42><105>
05974 <156><84>
05976 <156><87>
05B55 <87><162>
05B83 <139><27>
05C3C <142><24>
05DE8 <102><73>
05DE7 <103><34>
05DE6 <23><102>
05E02 <67><122>
05E03 <23><122>
05E73 <95><70>
05E7C <169><83>
05F01 <88><108>
05F18 <149><88>
05F17 <347>
05FC5 <341>
0620A <295>
06253 <220><32>
06254 <220><87>
06252 <220><48>
06251 <220><37>
065A5 <232><6>
065E6 <209><1>
0672E <188><6>
0672C <287>
0672A <281>
0672B <282>
0672D <185><9>
06B63 <1><206>
06BCD <274>
06C11 <348>
06C10 <240><1>
06C38 <342>
06C41 <277><20>
06C40 <277><32>
06C3E <277><76>
072AF <194><76>
07384 <67><169>
07389 <173><6>
074DC <332>
074E6 <294>
07518 <285>
0751F <322>
07528 <335>
07529 <336>
07530 <301>
07531 <302>
07532 <303>
07533 <304>
0758B <16><207>
0767D <331>
076AE <349>
076BF <305>
076EE <298>
077DB <353>
077E2 <42><105>
077F3 <291>
0793A <283>
079BE <325>
07A74 <139><48>
07ACB <339>
04E1E <17><275><1>
04E1F <173><88>
04E52 <329><5>
04E53 <329><6>
04E69 <38><119><9>
04E99 <367>
04EA4 <67><237>
04EA6 <67><242>
04EA5 <404>
04EFF <46><67><61>
04F09 <46><67><57>
04F19 <46><249>
04F0A <46><271>
04F15 <46><176>
04F0D <46><197>
04F10 <46><202>
04F11 <46><184>
04F0F <46><192>
04EF2 <46><214>
04EF6 <46><224>
04EFB <46><95><1>
04EF0 <46><65><77>
04EF3 <46><25><24>
04EFD <46><48><81>
04F01 <45><206>
04F0B <46><246>
05149 <161><1><55>
05147 <54><80><55>
05146 <55><252>
05148 <226><55>
05168 <51><173>
05171 <183><49>
0518D <1><310>
051B0 <69><275>
05217 <195><82>
05211 <1><108><82>
05212 <202><82>
0520E <245><82>
05216 <238><82>
052A3 <160><5><83>
05308 <64><54><80>
05321 <28><173>
05320 <28><232>
05370 <235><75>
05371 <63><22><76>
05409 <101><119>
0540F <363>
0540C <39><1><119>
0540A <119><122>
05410 <119><99>
05401 <119><96>
0540B <119><113>
05404 <130><119>
05411 <5><39><119>
0540D <135><119>
05408 <45><1><119>
05403 <119><42><8>
0540E <44><1><119>
05406 <119><169>
05412 <119><125>
056E0 <120><106>
056DE <120><119>
056DD <120><162>
05733 <100><171>
05730 <100><154>
05728 <23><1><99>
0572D <99><99>
0572C <100><1><34>
0572F <100><145>
05729 <100><96>
05919 <60><195>
0591A <135><135>
05937 <371>
05938 <105><1><34>
05984 <67><15><155>
05978 <156><95>
05983 <156><143>
0597D <156><162>
05979 <156><154>
05982 <156><119>
05981 <156><64><6>
05B57 <139><162>
05B58 <23><3><162>
05B87 <139><96>
05B88 <139><113>
05B85 <139><125>
05B89 <139><155>
05BFA <101><113>
05C16 <160><105>
05C79 <121><42><8>
05DDE <409>
05E06 <122><57><6>
05E76 <140><108>
05E74 <387>
05F0F <114><103>
05F1B <144><154>
05FD9 <259><67><15>
05FD6 <259><113>
0620E <202><23>
0620C <295><1>
0620D <295><6>
06210 <295><11>
06263 <220><119>
0625B <220><102>
06258 <220><125>
06536 <79><221>
065E9 <209><20>
065E8 <26><209>
065EC <64><209>
065ED <90><209>
066F2 <374>
066F3 <376>
06709 <23><238>
0673D <185><34>
06734 <185><37>
06731 <5><281>
06735 <58><186>
06B21 <19><62><45>
06B64 <208><24>
06B7B <195><24>
06C16 <223><87>
06C5D <277><155>
06C57 <277><95>
06C59 <277><96>
06C5F <277><102>
06C60 <277><154>
06C50 <277><135>
06C55 <277><121>
06C61 <277><1><34>
06C5B <277><13><20>
06C4D <277><136>
06C4E <277><57><6>
07070 <23><249>
0725F <88><224>
0725D <225><24>
0767E <1><331>
07AF9 <390>
07C73 <405>
07CF8 <416>
07F36 <384>
07F8A <406>
07FBD <415>
08001 <180><24>
08003 <180><34>
0800C <366>
08012 <385>
08033 <356>
0807F <410>
08089 <381>
0808B <382><83>
0808C <382><57>
081E3 <359>
081EA <392>
081F3 <368>
081FC <393>
0820C <95><119>
0821B <135><111>
0821F <396>
0826E <412>
08272 <63><268>
0827E <204><53>
0866B <375>
08840 <5><305>
0884C <127><19><10>
08863 <401>
0897F <361>
09621 <166><126>
04E32 <431>
04EA8 <67><119><93>
04F4D <46><339>
04F4F <46><67><99>
04F47 <46><139><32>
04F57 <46><139><27>
04F5E <46><19><155>
04F34 <46><70><97>
04F5B <46><347>
04F55 <46><32><119>
04F30 <46><20><119>
04F50 <46><23><102>
04F51 <46><23><119>
04F3D <46><83><119>
04F3A <46><11><1><119>
04F38 <46><304>
04F43 <46><301>
04F54 <46><38><119>
04F3C <46><297>
04F46 <46><209><1>
04F63 <46><335>
04F5C <46><324>
04F60 <46><62><159>
04F2F <46><331>
04F4E <46><240><1>
04F36 <46><45><1><89>
04F59 <45><1><187>
04F5D <46><64><119>
04F48 <46><23><122>
04F5A <46><42><105>
0514C <49><119><55>
0514B <46><119><55>
0514D <63><309>
05175 <329><49>
051B6 <69><88><119>
051B7 <69><45><1><89>
05225 <119><61><82>
05224 <70><98><82>
05229 <326><82>
0522A <311><82>
05228 <64><145><82>
052AB <99><88><83>
052A9 <300><83>
052AA <156><84><83>
052AC <64><119><83>
05323 <28><303>
05373 <413><75>
05375 <134><6><75><6>
0541D <247><119>
0542D <119><67><57>
0541E <1><105><119>
0543E <197><119>
05426 <191><119>
0544E <119><142><7>
05427 <119><268>
05446 <119><186>
05443 <119><22><76>
05433 <119><12><105>
05448 <119><5><99>
05442 <119><5><119>
0541B <271><119>
05429 <119><48><81>
0544A <226><119>
05439 <119><62><45>
0543B <119><245>
05438 <119><246>
0542E <119><88><55>
05435 <119><160><5>
05436 <119><217>
05420 <119><192>
0543C <119><163><9>
05440 <119><203>
05431 <119><20><84>
0542B <45><1><17><119>
0541F <119><45><1><17>
0542C <119><232>
056EA <5><120><129>
056F0 <120><185>
056E4 <120><198>
056EB <120><245>
0574A <100><67><61>
05751 <100><67><57>
05740 <100><206>
0574D <100><241>
05747 <100><64><19>
0574E <100><62><45>
0573E <100><246>
05750 <47><47><99>
0574F <100><191>
0573B <100><232>
058EF <266><101>
0593E <105><47><47>
0599D <266><155>
05992 <156><236>
059A8 <156><67><61>
0599E <156><267>
059A3 <156><25><24>
05999 <156><160><5>
05996 <156><5><105>
0598D <156><1><108>
059A4 <156><89><16><10>
05993 <156><20><84>
0598A <156><95><1>
059A5 <234><155>
05B5D <180><162>
05B5C <163><221>
05B5A <234><162>
05B5B <20><72><162>
05B8C <139><19><55>
05B8B <139><184>
05B8F <139><23><88>
05C2C <107><45><43>
