1-4243 1111
1-4421 1
1-4422 8
1-4423 32
1-4424 30
1-4425 87
1-4426 90
1-4427 93
1-4428 19
1-4429 45
1-442A 55
1-442B 51
1-442C 48
1-442D 57
1-442E 81
1-442F 11,2
1-4430 83
1-4431 24
1-4432 20
1-4433 37
1-4434 84
1-4435 1,19
1-4436 1,37
1-4437 110
1-4438 38,1
1-4439 3,70
1-443A 136
1-443B 57,6
1-443C 132
1-443D 5,88
1-443E 154
1-443F 42,8
1-4440 96
1-4441 67,15
1-4442 1,55
1-4443 81,6
1-4444 64,6
1-4445 126
1-4446 84,6
1-4447 119
1-4448 99
1-4449 101
1-444A 135
1-444B 105
1-444C 155
1-444D 162
1-444E 163
1-444F 168
1-4450 113
1-4451 159
1-4452 107
1-4453 142
1-4454 121
1-4455 171
1-4456 102
1-4457 143
1-4458 148
1-4459 145
1-445A 122
1-445B 95
1-445C 108
1-445D 114
1-445E 149
1-445F 116
1-4460 267
1-4461 181
1-4462 191
1-4463 214
1-4464 227
1-4465 241
1-4466 254
1-4467 271
1-4468 89,16,10
1-4469 19,88
1-446A 175
1-446B 1,164
1-446C 197
1-446D 67,57
1-446E 46,19
1-446F 46,20
1-4470 46,32
1-4471 46,37
1-4472 46,90
1-4473 46,87
1-4474 45,1,17
1-4475 45,43
1-4476 22,45
1-4477 19,55
1-4478 88,55
1-4479 217
1-447A 67,49
1-447B 48,34
1-447C 48,88
1-447D 72,57
1-447E 54,80
1-4521 48,81
1-4522 31,81
1-4523 54,82
1-4524 64,19
1-4525 64,88
1-4526 245
1-4527 46,24
1-4528 29,50
1-4529 5,95
1-452A 5,108
1-452B 190
1-452C 67,37
1-452D 22,76
1-452E 23,84
1-452F 246
1-4530 22,84
1-4531 95,1
1-4532 1,105
1-4533 176
1-4534 105,6
1-4535 5,105
1-4536 163,9
1-4537 160,5
1-4538 107,6
1-4539 142,7
1-453A 198
1-453B 268
1-453C 169,11
1-453D 182
1-453E 265
1-453F 149,3
1-4540 257
1-4541 202
1-4542 236
1-4543 218
1-4544 220,9
1-4545 20,84
1-4546 247
1-4547 71,20
1-4548 232
1-4549 67,61
1-454A 209
1-454B 210
1-454C 238
1-454D 184
1-454E 62,45
1-454F 206
1-4550 195
1-4551 272
1-4552 25,24
1-4553 222
1-4554 240
1-4555 275
1-4556 249
1-4557 233
1-4558 237
1-4559 54,53
1-455A 231
1-455B 203
1-455C 224
1-455D 192
1-455E 173
1-455F 290
1-4560 286
1-4561 191,1
1-4562 299
1-4563 329
1-4564 67,99
1-4565 324
1-4566 5,254
1-4567 334
1-4568 297
1-4569 46,113
1-456A 46,162
1-456B 46,101
1-456C 46,154
1-456D 46,110
1-456E 46,114
1-456F 45,1,89
1-4570 46,121
1-4571 46,81,6
1-4572 115,55
1-4573 119,55
1-4574 310
1-4575 311
1-4576 130,71
1-4577 319
1-4578 152,80
1-4579 320
1-457A 95,82
1-457B 83,119
1-457C 103,83
1-457D 64,145
1-457E 64,129
1-4621 117,24
1-4622 28,122
1-4623 46,126
1-4624 70,97
1-4625 20,108
1-4626 38,1,37
1-4627 38,119
1-4628 134,75
1-4629 44,1,76
1-462A 99,88
1-462B 32,119
1-462C 20,119
1-462D 23,119
1-462E 81,119
1-462F 119,32
1-4630 119,75
1-4631 119,81
1-4632 119,11,2
1-4633 11,1,119
1-4634 28,119
1-4635 119,79
1-4636 119,83
1-4637 119,49
1-4638 307
1-4639 119,66
1-463A 88,119
1-463B 64,119
1-463C 119,48
1-463D 119,83
1-463E 120,50
1-463F 120,47
1-4640 135,37
1-4641 308
1-4642 42,105
1-4643 156,84
1-4644 156,87
1-4645 87,162
1-4646 139,27
1-4647 142,24
1-4648 102,73
1-4649 103,34
1-464A 23,102
1-464B 67,122
1-464C 23,122
1-464D 95,70
1-464E 169,83
1-464F 88,108
1-4650 149,88
1-4651 347
1-4652 341
1-4653 295
1-4654 220,32
1-4655 220,87
1-4656 220,48
1-4657 220,37
1-4658 232,6
1-4659 209,1
1-465A 188,6
1-465B 287
1-465C 281
1-465D 282
1-465E 185,9
1-465F 1,206
1-4660 274
1-4661 348
1-4662 240,1
1-4663 342
1-4664 277,20
1-4665 277,32
1-4666 277,76
