1-2863 ㄔㄨㄛˋ
1-4243 ㄌㄧㄥˊ
1-4421 ㄧ
1-4421 ㄧˊ
1-4421 ㄧˋ
1-4422 ㄧˇ
1-4423 ㄓㄥ
1-4423 ㄉㄧㄥ
1-4424 ㄑㄧ
1-4425 ㄋㄞˇ
1-4426 ㄐㄧㄡˇ
1-4427 ˙ㄌㄜ
1-4427 ㄌㄧㄠˇ
1-4428 ㄦˋ
1-4429 ㄖㄣˊ
1-442A ㄖㄣˊ
1-442B ㄖˋ
1-442B ㄖㄨˇ
1-442B ㄖㄨˋ
1-442C ㄅㄚ
1-442D ㄐㄧ
1-442D ㄐㄧˇ
1-442E ㄉㄠ
1-442F ㄉㄧㄠ
1-4430 ㄌㄧˋ
1-4431 ㄅㄧˇ
1-4432 ㄕˊ
1-4433 ㄅㄨˇ
1-4434 ㄧㄡˋ
1-4435 ㄙㄢ
1-4435 ㄙㄚ
1-4435 ㄙㄢˋ
1-4436 ㄒㄧㄚˋ
1-4437 ㄓㄤˋ
1-4438 ㄕㄤˋ
1-4438 ㄕㄤˇ
1-4439 ㄧㄚ
1-443A ㄨㄢˊ
1-443B ㄈㄢˊ
1-443C ㄐㄧㄡˇ
1-443D ㄧㄠ
1-443E ㄧㄝˇ
1-443F ㄑㄧˇ
1-443F ㄑㄧˋ
1-4440 ㄩˊ
1-4440 ㄒㄩ
1-4441 ㄨˊ
1-4441 ㄨㄤˊ
1-4442 ㄨˋ
1-4443 ㄖㄣˋ
1-4444 ㄕㄠˊ
1-4444 ㄕㄨㄛˋ
1-4445 ㄑㄧㄢ
1-4446 ㄔㄚ
1-4446 ㄔㄚˊ
1-4446 ㄔㄚˇ
1-4447 ㄎㄡˇ
1-4448 ㄊㄨˇ
1-4449 ㄕˋ
1-444A ㄒㄧˋ
1-444B ㄊㄞˋ
1-444B ㄉㄚˋ
1-444B ㄉㄞˋ
1-444C ㄖㄨˇ
1-444C ㄋㄩˇ
1-444C ㄋㄩˋ
1-444D ㄗˇ
1-444D ˙ㄗ
1-444E ㄐㄧㄝˊ
1-444F ㄐㄩㄝˊ
1-4450 ㄘㄨㄣˋ
1-4451 ㄒㄧㄠˇ
1-4452 ㄨㄤ
1-4453 ㄕ
1-4454 ㄕㄢ
1-4455 ㄔㄨㄢ
1-4456 ㄍㄨㄥ
1-4457 ㄐㄧˇ
1-4458 ㄧˇ
1-4459 ㄙˋ
1-445A ㄐㄧㄣ
1-445B ㄍㄢ
1-445C ㄍㄨㄥˇ
1-445D ㄧˋ
1-445E ㄍㄨㄥ
1-445F ㄘㄞˊ
1-4460 ㄔㄡˇ
1-4461 ㄍㄞˋ
1-4462 ㄈㄡ
1-4462 ㄈㄨ
1-4462 ㄅㄨˋ
1-4462 ㄅㄨˊ
1-4462 ㄈㄡˇ
1-4463 ㄓㄨㄥ
1-4463 ㄓㄨㄥˋ
1-4464 ㄈㄥ
1-4465 ㄉㄢ
1-4466 ㄓ
1-4467 ㄧㄣˇ
1-4468 ㄩˊ
1-4468 ㄩˇ
1-4469 ㄩㄣˊ
1-446A ㄐㄧㄥˇ
1-446B ㄏㄨˋ
1-446C ㄨˇ
1-446D ㄍㄤ
1-446D ㄎㄤˋ
1-446E ㄖㄣˊ
1-446F ㄕˊ
1-446F ㄕㄣˊ
1-446F ㄕㄜˊ
1-4470 ㄉㄧㄥ
1-4471 ㄆㄨ
1-4471 ㄈㄨˋ
1-4472 ㄔㄡˊ
1-4472 ㄑㄧㄡˊ
1-4473 ㄖㄥˊ
1-4474 ㄐㄧㄣ
1-4475 ㄐㄧㄝˋ
1-4476 ㄗㄜˋ
1-4477 ㄩㄢˊ
1-4478 ㄩㄣˇ
1-4479 ㄋㄚˋ
1-4479 ㄋㄟˋ
1-447A ㄌㄨˋ
1-447A ㄌㄧㄡˋ
1-447B ㄒㄧ
1-447C ㄍㄨㄥ
1-447D ㄖㄨㄥˇ
1-447E ㄒㄩㄥ
1-4521 ㄈㄣ
1-4521 ㄈㄣˋ
1-4522 ㄑㄧㄝ
1-4522 ㄑㄧㄝˋ
1-4523 ㄧˋ
1-4524 ㄩㄣˊ
1-4525 ㄍㄡ
1-4525 ㄍㄡˋ
1-4526 ㄨˋ
1-4527 ㄏㄨㄚ
1-4527 ㄏㄨㄚˋ
1-4528 ㄆㄧ
1-4528 ㄆㄧˇ
1-4529 ㄨˇ
1-452A ㄕㄥ
1-452B ㄙㄚˋ
1-452C ㄅㄧㄢˋ
1-452D ㄜˋ
1-452E ㄧㄡˇ
1-452F ㄐㄧˊ
1-4530 ㄈㄢ
1-4530 ㄈㄢˋ
1-4530 ㄈㄢˇ
1-4531 ㄖㄣˊ
1-4532 ㄊㄧㄢ
1-4533 ㄈㄨ
1-4533 ㄈㄨˊ
1-4534 ㄊㄞˋ
1-4535 ㄠˇ
1-4535 ㄧㄠ
1-4535 ㄧㄠˇ
1-4536 ㄎㄨㄥˇ
1-4537 ㄕㄠˋ
1-4537 ㄕㄠˇ
1-4538 ㄧㄡˊ
1-4539 ㄔˊ
1-4539 ㄔˇ
1-4539 ㄔㄜˇ
1-453A ㄓㄨㄣ
1-453A ㄊㄨㄣˊ
1-453B ㄅㄚ
1-453C ㄏㄨㄢˋ
1-453D ㄋㄧㄢˋ
1-453E ㄉㄧㄠˋ
1-453F ㄧㄣˇ
1-4540 ㄒㄧㄣ
1-4541 ㄍㄜ
1-4542 ㄏㄨˋ
1-4543 ㄕㄡˇ
1-4544 ㄓㄚ
1-4544 ㄓㄚˇ
1-4544 ㄓㄚˊ
1-4545 ㄓ
1-4546 ㄨㄣˋ
1-4546 ㄨㄣˊ
1-4547 ㄉㄡˇ
1-4548 ㄐㄧㄣ
1-4549 ㄈㄤ
