˙ㄅㄚ ba ⠕⠜⠁ 187 ba5 o>a
˙ㄅㄛ bo ⠕⠣⠁ 1i7 bo5 o<a
˙ㄅㄞ bai ⠕⠺⠁ 197 bai5 owa
˙ㄅㄟ bei ⠕⠴⠁ 1o7 bei5 o0a
˙ㄅㄠ bao ⠕⠩⠁ 1l7 bao5 o%a
˙ㄅㄢ ban ⠕⠧⠁ 107 ban5 ova
˙ㄅㄣ ben ⠕⠥⠁ 1p7 ben5 oua
˙ㄅㄤ bang ⠕⠭⠁ 1;7 bang5 oxa
˙ㄅㄥ beng ⠕⠵⠁ 1/7 beng5 oza
˙ㄅㄧ bi ⠕⠡⠁ 1u7 bi5 o*a
˙ㄅㄧㄝ bie ⠕⠬⠁ 1u,7 bie5 o+a
˙ㄅㄧㄠ biao ⠕⠪⠁ 1ul7 biao5 o[a
˙ㄅㄧㄢ bian ⠕⠞⠁ 1u07 bian5 ota
˙ㄅㄧㄣ bin ⠕⠹⠁ 1up7 bin5 o?a
˙ㄅㄧㄥ bing ⠕⠽⠁ 1u/7 bing5 oya
˙ㄅㄨ bu ⠕⠌⠁ 1j7 bu5 o/a
˙ㄆㄚ pa ⠏⠜⠁ q87 pa5 p>a
˙ㄆㄛ po ⠏⠣⠁ qi7 po5 p<a
˙ㄆㄞ pai ⠏⠺⠁ q97 pai5 pwa
˙ㄆㄟ pei ⠏⠴⠁ qo7 pei5 p0a
˙ㄆㄠ pao ⠏⠩⠁ ql7 pao5 p%a
˙ㄆㄡ pou ⠏⠷⠁ q.7 pou5 p(a
˙ㄆㄢ pan ⠏⠧⠁ q07 pan5 pva
˙ㄆㄣ pen ⠏⠥⠁ qp7 pen5 pua
˙ㄆㄤ pang ⠏⠭⠁ q;7 pang5 pxa
˙ㄆㄥ peng ⠏⠵⠁ q/7 peng5 pza
˙ㄆㄧ pi ⠏⠡⠁ qu7 pi5 p*a
˙ㄆㄧㄚ pia ⠏⠾⠁ qu87 pia5 p)a
˙ㄆㄧㄝ pie ⠏⠬⠁ qu,7 pie5 p+a
˙ㄆㄧㄠ piao ⠏⠪⠁ qul7 piao5 p[a
˙ㄆㄧㄢ pian ⠏⠞⠁ qu07 pian5 pta
˙ㄆㄧㄣ pin ⠏⠹⠁ qup7 pin5 p?a
˙ㄆㄧㄥ ping ⠏⠽⠁ qu/7 ping5 pya
˙ㄆㄨ pu ⠏⠌⠁ qj7 pu5 p/a
˙ㄇㄚ ma ⠍⠜⠁ a87 ma5 m>a
˙ㄇㄛ mo ⠍⠣⠁ ai7 mo5 m<a
˙ㄇㄜ me ⠍⠮⠁ ak7 me5 m!a
˙ㄇㄞ mai ⠍⠺⠁ a97 mai5 mwa
˙ㄇㄟ mei ⠍⠴⠁ ao7 mei5 m0a
˙ㄇㄠ mao ⠍⠩⠁ al7 mao5 m%a
˙ㄇㄡ mou ⠍⠷⠁ a.7 mou5 m(a
˙ㄇㄢ man ⠍⠧⠁ a07 man5 mva
˙ㄇㄣ men ⠍⠥⠁ ap7 men5 mua
˙ㄇㄤ mang ⠍⠭⠁ a;7 mang5 mxa
˙ㄇㄥ meng ⠍⠵⠁ a/7 meng5 mza
˙ㄇㄧ mi ⠍⠡⠁ au7 mi5 m*a
˙ㄇㄧㄝ mie ⠍⠬⠁ au,7 mie5 m+a
˙ㄇㄧㄠ miao ⠍⠪⠁ aul7 miao5 m[a
˙ㄇㄧㄡ miu ⠍⠎⠁ au.7 miu5 msa
˙ㄇㄧㄢ mian ⠍⠞⠁ au07 mian5 mta
˙ㄇㄧㄣ min ⠍⠹⠁ aup7 min5 m?a
˙ㄇㄧㄥ ming ⠍⠽⠁ au/7 ming5 mya
˙ㄇㄨ mu ⠍⠌⠁ aj7 mu5 m/a
˙ㄈㄚ fa ⠟⠜⠁ z87 fa5 q>a
˙ㄈㄛ fo ⠟⠣⠁ zi7 fo5 q<a
˙ㄈㄟ fei ⠟⠴⠁ zo7 fei5 q0a
˙ㄈㄡ fou ⠟⠷⠁ z.7 fou5 q(a
˙ㄈㄢ fan ⠟⠧⠁ z07 fan5 qva
˙ㄈㄣ fen ⠟⠥⠁ zp7 fen5 qua
˙ㄈㄤ fang ⠟⠭⠁ z;7 fang5 qxa
˙ㄈㄥ feng ⠟⠵⠁ z/7 feng5 qza
˙ㄈㄧㄠ fiao ⠟⠪⠁ zul7 fiao5 q[a
˙ㄈㄨ fu ⠟⠌⠁ zj7 fu5 q/a
˙ㄉㄚ da ⠙⠜⠁ 287 da5 d>a
˙ㄉㄜ de ⠙⠮⠁ 2k7 de5 d!a
˙ㄉㄞ dai ⠙⠺⠁ 297 dai5 dwa
˙ㄉㄟ dei ⠙⠴⠁ 2o7 dei5 d0a
˙ㄉㄠ dao ⠙⠩⠁ 2l7 dao5 d%a
˙ㄉㄡ dou ⠙⠷⠁ 2.7 dou5 d(a
˙ㄉㄢ dan ⠙⠧⠁ 207 dan5 dva
˙ㄉㄣ den ⠙⠥⠁ 2p7 den5 dua
˙ㄉㄤ dang ⠙⠭⠁ 2;7 dang5 dxa
˙ㄉㄥ deng ⠙⠵⠁ 2/7 deng5 dza
˙ㄉㄧ di ⠙⠡⠁ 2u7 di5 d*a
˙ㄉㄧㄝ die ⠙⠬⠁ 2u,7 die5 d+a
˙ㄉㄧㄠ diao ⠙⠪⠁ 2ul7 diao5 d[a
˙ㄉㄧㄡ diu ⠙⠎⠁ 2u.7 diu5 dsa
˙ㄉㄧㄢ dian ⠙⠞⠁ 2u07 dian5 dta
˙ㄉㄧㄤ diang ⠙⠨⠁ 2u;7 diang5 d.a
˙ㄉㄧㄥ ding ⠙⠽⠁ 2u/7 ding5 dya
˙ㄉㄨ du ⠙⠌⠁ 2j7 du5 d/a
˙ㄉㄨㄛ duo ⠙⠒⠁ 2ji7 duo5 d3a
˙ㄉㄨㄟ dui ⠙⠫⠁ 2jo7 dui5 d$a
˙ㄉㄨㄢ duan ⠙⠻⠁ 2j07 duan5 d]a
˙ㄉㄨㄣ dun ⠙⠿⠁ 2jp7 dun5 d=a
˙ㄉㄨㄥ dong ⠙⠯⠁ 2j/7 dong5 d&a
˙ㄊㄚ ta ⠋⠜⠁ w87 ta5 f>a
˙ㄊㄜ te ⠋⠮⠁ wk7 te5 f!a
˙ㄊㄞ tai ⠋⠺⠁ w97 tai5 fwa
˙ㄊㄠ tao ⠋⠩⠁ wl7 tao5 f%a
˙ㄊㄡ tou ⠋⠷⠁ w.7 tou5 f(a
˙ㄊㄢ tan ⠋⠧⠁ w07 tan5 fva
˙ㄊㄤ tang ⠋⠭⠁ w;7 tang5 fxa
˙ㄊㄥ teng ⠋⠵⠁ w/7 teng5 fza
˙ㄊㄧ ti ⠋⠡⠁ wu7 ti5 f*a
˙ㄊㄧㄝ tie ⠋⠬⠁ wu,7 tie5 f+a
˙ㄊㄧㄠ tiao ⠋⠪⠁ wul7 tiao5 f[a
˙ㄊㄧㄢ tian ⠋⠞⠁ wu07 tian5 fta
˙ㄊㄧㄥ ting ⠋⠽⠁ wu/7 ting5 fya
˙ㄊㄨ tu ⠋⠌⠁ wj7 tu5 f/a
˙ㄊㄨㄛ tuo ⠋⠒⠁ wji7 tuo5 f3a
˙ㄊㄨㄟ tui ⠋⠫⠁ wjo7 tui5 f$a
˙ㄊㄨㄢ tuan ⠋⠻⠁ wj07 tuan5 f]a
˙ㄊㄨㄣ tun ⠋⠿⠁ wjp7 tun5 f=a
˙ㄊㄨㄥ tong ⠋⠯⠁ wj/7 tong5 f&a
˙ㄋㄚ na ⠝⠜⠁ s87 na5 n>a
˙ㄋㄜ ne ⠝⠮⠁ sk7 ne5 n!a
